Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
کوی فردوس,55,1382,2,2700000000,49091000,2,1,1,1
جنت‌آباد جنوبی,65,1388,2,2100000000,32308000,2,0,1,1
کوی فردوس,180,1400,3,9900000000,55000000,6,1,1,1
الهیه,186,1398,3,20460000000,110000000,3,1,1,1
دروازه شمیران,115,1400,2,3080000000,26783000,1,1,1,1
ایران,79,1389,2,2170000000,27468000,2,0,0,1
شهرک نفت (منطقه ),124,1383,3,4320000000,34839000,3,1,1,1
امیر بهادر,52,1396,1,1470000000,28269000,2,1,1,1
پرند,78,1400,2,425000000,5449000,7,1,0,0
جیحون,69,1385,2,1100000000,15942000,2,0,0,1
پاسداران,170,1388,3,9500000000,55882000,3,1,1,1
بهار,62,1399,1,2900000000,46774000,5,1,1,1
شهرک نفت (منطقه ),105,1397,2,4700000000,44762000,5,1,1,1
جردن,175,1370,3,11300000000,64571000,3,0,1,1
ارم,85,1398,2,3800000000,44706000,4,1,1,1
یوسف‌آباد,190,1400,3,17100000000,90000000,1,1,1,1
مسعودیه,70,1394,2,980000000,14000000,2,1,0,1
آجودانیه,84,1390,2,5500000000,65476000,3,1,1,1
جیحون,50,1375,1,830000000,16600000,2,0,0,1
آبشار,60,1396,1,1400000000,23333000,1,1,0,1
صادقیه,113,1400,3,5200000000,46018000,1,1,1,1
شهر زیبا,105,1391,2,4150000000,39524000,2,1,1,1
زعفرانیه,145,1382,2,10750000000,74138000,1,1,1,1
دزاشیب,230,1392,3,17500000000,76087000,2,1,1,1
یوسف‌آباد,111,1393,2,5700000000,51351000,2,1,1,1
دهکده المپیک,219,1400,3,10000000000,45662000,18,1,1,1
جردن,85,1398,2,7650000000,90000000,1,1,1,1
پونک,85,1396,2,3550000000,41765000,4,1,1,1
الهیه,107,1388,2,9600000000,89720000,0,1,1,1
سلسبیل,38,1381,1,790000000,20789000,2,0,0,1
سازمان برنامه,89,1394,2,4750000000,53371000,5,1,1,1
شهر زیبا,85,1370,2,3250000000,38235000,0,0,1,1
شهران شمالی,57,1385,2,2250000000,39474000,2,1,1,1
امیریه,56,1390,1,930000000,16607000,2,0,1,1
ونک,350,1392,4,29000000000,82857000,5,1,1,1
پردیس,110,1399,2,1310000000,11909000,1,1,1,1
بریانک,75,1393,2,1480000000,19733000,2,1,1,1
نیاوران,420,1399,4,70000000000,166667000,6,1,1,1
سهروردی,100,1385,2,4500000000,45000000,4,1,1,1
کوی فردوس,75,1385,2,2200000000,29333000,5,1,1,1
شهرآرا,69,1393,1,3500000000,50725000,3,1,1,1
سبلان,52,1394,1,1010000000,19423000,4,1,0,1
قلهک,150,1388,3,7500000000,50000000,2,1,1,1
شهرک غرب,134,1373,2,7800000000,58209000,4,1,1,1
کرمان,71,1384,2,2000000000,28169000,2,0,1,1
بهجت‌آباد,218,1370,3,5500000000,25229000,2,0,1,1
شهر زیبا,84,1400,1,2740000000,32619000,1,1,1,1
بریانک,60,1385,1,940000000,15667000,1,0,0,1
فرمانیه,590,1400,4,125000000000,211864000,6,1,1,1
تهران‌نو,148,1400,3,6100000000,41216000,2,1,1,1
هروی,100,1394,2,5000000000,50000000,2,1,1,1
جی,86,1395,2,1690000000,19651000,5,1,1,1
دزاشیب,100,1380,2,5000000000,50000000,4,1,1,1
اندیشه,44,1398,1,290000000,6591000,1,1,1,1
فرمانیه,115,1389,2,6900000000,60000000,2,1,1,1
فرمانیه,207,1387,3,15000000000,72464000,3,1,1,1
پردیس,105,1397,2,950000000,9048000,3,1,1,1
پاسداران,100,1399,2,8500000000,85000000,2,1,1,1
مهرآباد جنوبی,50,1385,1,950000000,19000000,3,0,1,0
آهنگ,65,1382,2,1660000000,25538000,0,0,0,1
سعادت‌آباد,120,1397,3,10800000000,90000000,6,1,1,1
الهیه,180,1380,3,15500000000,86111000,2,1,1,1
آذربایجان,65,1377,2,1200000000,18462000,3,0,0,1
پیروزی,58,1395,1,1260000000,21724000,1,1,0,0
یافت‌آباد,50,1392,1,710000000,14200000,2,1,0,1
توانیر,200,1395,3,12500000000,62500000,4,1,1,1
ونک,99,1382,2,5300000000,53535000,4,1,1,1
پونک,125,1393,3,6000000000,48000000,5,1,1,1
دریاچه شهدای خلیج فارس,100,1400,2,1060000000,10600000,12,1,1,1
خواجه نظام الملک,80,1400,2,2200000000,27500000,4,1,1,1
دروس,220,1399,3,22000000000,100000000,5,1,1,1
پردیس,85,1399,2,650000000,7647000,4,1,1,1
جنت‌آباد جنوبی,52,1380,1,1670000000,32115000,2,0,0,1
الهیه,230,1396,3,25000000000,108696000,6,1,1,1
میدان انقلاب,72,1400,2,3050000000,42361000,1,1,1,0
فرمانیه,70,1395,1,56500000000,807143000,2,1,1,1
پونک,45,1384,1,1950000000,43333000,3,1,1,1
پونک,97,1382,2,3800000000,39175000,5,1,1,1
تهرانپارس غربی,256,1399,4,20000000000,78125000,1,1,1,1
فرمانیه,180,1400,3,16750000000,93056000,1,1,1,1
پردیس,105,1400,2,750000000,7143000,4,1,1,1
پرند,77,1399,2,340000000,4416000,0,1,1,0
جنت‌آباد جنوبی,84,1386,2,2900000000,34524000,2,1,1,1
پیروزی,60,1393,2,1400000000,23333000,2,1,0,0
نارمک,60,1387,1,2280000000,38000000,2,0,1,1
دریاچه شهدای خلیج فارس,75,1395,1,2350000000,31333000,7,1,1,1
جنت‌آباد مرکزی,93,1389,2,3800000000,40860000,1,1,1,1
کوی فردوس,62,1395,1,2450000000,39516000,2,1,1,1
فرمانیه,127,1385,2,8500000000,66929000,3,1,1,1
گیشا (کوی نصر),110,1390,2,5280000000,48000000,2,1,1,1
جمهوری,145,1400,3,5100000000,35172000,3,1,1,1
یوسف‌آباد,115,1378,3,5750000000,50000000,5,1,1,1
پونک,86,1393,2,3500000000,40698000,1,1,1,1
پونک,90,1391,2,4000000000,44444000,2,1,1,1
استخر,95,1400,2,2564000000,26989000,2,1,1,1
جوادیه,37,1386,1,220000000,5946000,1,0,0,0
شکوفه,35,1385,1,770000000,22000000,0,0,1,1
پردیس,75,1390,2,1200000000,16000000,1,1,0,1
نارمک,65,1385,2,2150000000,33077000,5,1,0,1
سلامت,48,1386,1,850000000,17708000,2,0,0,1
جنت‌آباد جنوبی,110,1393,2,4400000000,40000000,2,1,1,1
پونک,85,1383,2,2200000000,25882000,2,1,1,1
پردیس,88,1399,2,599000000,6807000,0,1,1,1
چیتگر,150,1400,3,2250000000,15000000,15,1,1,1
پرند,76,1400,2,380000000,5000000,3,1,1,1
خواجه نصیر طوسی,69,1383,1,2000000000,28986000,0,1,1,1
امیریه,48,1385,1,905000000,18854000,4,0,0,1
شهرک ولیعصر,60,1379,1,780000000,13000000,4,0,0,1
بریانک,51,1395,1,850000000,16667000,2,1,0,1
شهرآرا,90,1371,2,3800000000,42222000,3,0,1,1
مرزداران,97,1397,2,5450000000,56186000,2,1,1,1
طیب,52,1400,1,800000000,15385000,2,1,0,0
منیریه,76,1385,2,1820000000,23947000,1,0,1,1
فاطمی,180,1372,+۴,8200000000,45556000,0,0,1,1
امیرآباد,120,1400,3,7800000000,65000000,3,1,1,1
سعادت‌آباد,258,1397,4,25800000000,100000000,2,1,1,1
مجیدآباد,80,1392,2,2330000000,29125000,1,1,1,1
قیطریه,128,1386,3,9100000000,71094000,4,1,1,1
نیلوفر,120,1390,2,5500000000,45833000,4,1,1,1
پاسداران,95,1390,2,5600000000,58947000,2,1,1,1
پونک,51,1390,1,2150000000,42157000,2,1,1,1
سعادت‌آباد,60,1383,1,3300000000,55000000,1,0,1,1
جنت‌آباد مرکزی,122,1394,3,5900000000,48361000,3,1,1,1
شهریار,77,1395,2,980000000,12727000,1,0,1,1
اندیشه,81,1397,2,590000000,7284000,3,0,1,1
پاکدشت,65,1393,1,305000000,4692000,3,0,0,0
پردیس,89,1400,2,860000000,9663000,12,1,1,1
جیحون,70,1385,2,1150000000,16429000,3,0,1,1
تولید دارو,45,1388,1,690000000,15333000,4,1,0,1
اباذر,69,1383,2,2500000000,36232000,4,1,1,1
منیریه,116,1371,3,3500000000,30172000,1,0,1,1
اندیشه,45,1395,1,400000000,8889000,1,0,0,1
پردیس,87,1399,2,600000000,6897000,1,1,1,1
اکباتان,107,1397,2,4280000000,40000000,1,1,1,1
پونک,60,1397,1,2590000000,43167000,5,1,1,1
جمهوری,60,1389,2,1750000000,29167000,1,0,0,1
امیرآباد,100,1385,2,4500000000,45000000,2,1,1,1
شادمهر,99,1392,2,3550000000,35859000,1,1,1,1
آهنگ,55,1396,1,1230000000,22364000,3,1,1,0
شهران شمالی,85,1388,3,3100000000,36471000,5,1,1,1
شمیران‌نو,50,1399,1,550000000,11000000,0,0,0,0
پرند,80,1395,2,400000000,5000000,2,1,0,0
اندیشه,50,1388,1,550000000,11000000,3,1,0,1
نازی‌آباد,91,1378,2,1911000000,21000000,1,0,0,1
هروی,110,1385,2,5500000000,50000000,4,1,1,1
دزاشیب,133,1393,2,10200000000,76692000,5,1,1,1
شهرک غرب,120,1399,2,11050000000,92083000,3,1,1,1
اندیشه,105,1384,2,1150000000,10952000,3,0,1,1
قیطریه,210,1396,3,22050000000,105000000,4,1,1,1
دریاچه شهدای خلیج فارس,75,1385,2,2000000000,26667000,0,1,1,1
مرزداران,200,1398,3,15000000000,75000000,4,1,1,1
ازگل,155,1385,2,6800000000,43871000,5,1,1,1
پونک,81,1386,2,3600000000,44444000,1,0,1,1
پردیس,100,1400,2,895000000,8950000,4,1,1,1
پیروزی,68,1380,1,1700000000,25000000,2,0,0,0
اوقاف,80,1398,2,2120000000,26500000,5,1,1,1
سعادت‌آباد,130,1395,3,8900000000,68462000,6,1,1,1
سلامت,38,1382,1,600000000,15789000,3,0,0,1
پردیس,86,1400,2,1350000000,15698000,1,1,1,1
بهجت‌آباد,98,1370,2,4150000000,42347000,3,1,1,1
مهرآباد جنوبی,55,1387,1,930000000,16909000,3,0,1,1
اکباتان,15,1371,0,720000000,48000000,-1,0,1,1
پونک,95,1398,2,4085000000,43000000,3,1,1,1
سعادت‌آباد,165,1385,3,9000000000,54545000,4,1,1,1
دهکده المپیک,65,1384,1,1950000000,30000000,2,0,1,1
جنت‌آباد مرکزی,62,1382,1,1650000000,26613000,3,0,0,1
نیرو هوایی,85,1383,2,2900000000,34118000,5,1,1,1
شهرک غرب,188,1400,3,16900000000,89894000,2,1,1,1
خواجه نظام الملک,45,1375,1,1050000000,23333000,1,0,0,1
هروی,104,1395,2,6150000000,59135000,1,1,1,1
سازمان آب,87,1380,2,3220000000,37011000,3,1,1,1
پرند,87,1400,3,292000000,3356000,2,1,1,1
شهریار,90,1399,2,1000000000,11111000,4,1,1,1
تهرانپارس غربی,98,1392,2,3720000000,37959000,4,1,1,1
جنت‌آباد جنوبی,86,1384,2,3000000000,34884000,1,0,1,1
تولید دارو,79,1395,2,1700000000,21519000,1,1,1,0
شهر زیبا,100,1391,3,3200000000,32000000,4,1,1,1
تهران‌سر,74,1397,2,2050000000,27703000,1,1,1,1
پاسداران,149,1400,3,10500000000,70470000,1,1,1,1
چیتگر,253,1400,3,8602000000,34000000,26,1,1,1
قیطریه,110,1394,2,8100000000,73636000,2,1,1,1
پاکدشت,165,1398,2,1200000000,7273000,5,1,1,1
پردیس,87,1400,2,1000000000,11494000,12,1,1,1
فرمانیه,160,1385,3,9800000000,61250000,3,1,1,1
یوسف‌آباد,126,1389,3,6670000000,52937000,1,1,1,1
پیروزی,50,1385,1,850000000,17000000,2,0,0,1
تهرانپارس غربی,65,1385,2,1750000000,26923000,2,0,0,1
شهر زیبا,86,1390,2,2895000000,33663000,3,1,1,1
عباس‌آباد,75,1379,2,2775000000,37000000,2,0,0,1
جردن,215,1375,3,12400000000,57674000,1,1,1,1
شهر قدس,85,1393,1,590000000,6941000,1,0,1,1
ستارخان,85,1382,2,2350000000,27647000,5,1,0,1
شهرآرا,107,1399,2,5000000000,46729000,2,1,1,1
شهرآرا,140,1400,3,8000000000,57143000,2,1,1,1
فاطمی,75,1394,2,3500000000,46667000,1,1,1,1
پرند,88,1400,3,290000000,3295000,1,1,1,1
گیشا (کوی نصر),93,1399,2,6000000000,64516000,2,1,1,1
جنت‌آباد جنوبی,65,1384,2,1830000000,28154000,2,0,0,0
شهرک غرب,145,1383,3,7450000000,51379000,2,1,1,1
توانیر,107,1371,2,4494000000,42000000,1,1,1,1
جردن,280,1380,4,18000000000,64286000,5,1,1,1
آذری,45,1392,1,670000000,14889000,1,0,0,0
شمس‌آباد,89,1386,2,3100000000,34831000,5,1,1,1
جوادیه,53,1390,1,660000000,12453000,1,0,0,0
ستارخان,83,1386,2,2400000000,28916000,4,1,1,1
باغ فیض,65,1394,1,2200000000,33846000,3,1,1,1
پردیس,100,1400,2,710000000,7100000,5,1,1,1
فلاح,45,1392,1,750000000,16667000,4,1,0,0
تهرانپارس شرقی,72,1383,2,1430000000,19861000,1,0,1,1
فلاح,135,1399,3,3037500000,22500000,2,1,1,1
افسریه,66,1387,2,1040000000,15758000,3,0,0,1
دبستان,75,1384,2,2900000000,38667000,2,0,1,1
کوی فردوس,58,1383,1,1890000000,32586000,2,1,1,1
اختیاریه,134,1383,3,6700000000,50000000,4,1,1,1
دزاشیب,100,1372,2,5400000000,54000000,5,1,1,1
شهرک ولیعصر,52,1396,1,810000000,15577000,2,1,1,0
سعادت‌آباد,150,1400,3,20000000000,133333000,4,1,1,1
پرستار,51,1380,1,1170000000,22941000,3,0,0,0
پردیس,105,1399,2,870000000,8286000,3,1,1,1
یافت‌آباد,52,1385,1,630000000,12115000,2,0,0,1
طرشت,113,1390,2,4200000000,37168000,2,1,1,1
پردیس,88,1397,2,1050000000,11932000,9,1,1,1
شهران جنوبی,90,1392,2,2850000000,31667000,1,1,1,1
شهرک فردوس,54,1383,1,705000000,13056000,3,0,1,1
هروی,126,1390,3,7200000000,57143000,4,1,1,1
سعادت‌آباد,150,1395,3,11000000000,73333000,2,1,1,1
شهرک ولیعصر,54,1386,1,700000000,12963000,4,0,0,1
ورامین,75,1390,2,450000000,6000000,5,1,1,1
ستارخان,68,1371,1,1680000000,24706000,1,0,0,1
چیتگر,130,1400,2,3750000000,28846000,20,1,1,1
سعادت‌آباد,70,1391,1,5500000000,78571000,2,1,1,1
حسن‌آباد,99,1394,2,3000000000,30303000,5,1,1,1
پرند,80,1398,2,480000000,6000000,0,1,0,0
خلیج فارس,84,1400,2,1722000000,20500000,4,1,1,1
چیتگر,60,1400,1,875000000,14583000,10,1,1,1
اوقاف,85,1382,2,1722000000,20259000,3,0,0,1
رودهن,83,1389,2,1200000000,14458000,4,1,1,1
نیاوران,150,1400,3,15000000000,100000000,3,1,1,1
هروی,127,1385,3,4850000000,38189000,4,1,1,1
سهروردی,47,1398,1,2060000000,43830000,2,1,1,1
میدان انقلاب,130,1375,3,3170000000,24385000,3,1,1,1
هروی,165,1400,3,9900000000,60000000,1,1,1,1
درکه,265,1393,4,17600000000,66415000,5,1,1,1
سعادت‌آباد,85,1397,2,5000000000,58824000,1,1,1,1
سبلان,34,1395,1,920000000,27059000,4,1,1,0
پاتریس لومومبا,82,1370,2,2850000000,34756000,2,0,0,1
کوی فردوس,60,1385,2,2100000000,35000000,2,1,1,1
دریاچه شهدای خلیج فارس,125,1400,3,1400000000,11200000,14,1,1,1
نظام‌آباد,67,1390,2,1200000000,17910000,4,0,1,0
جردن,130,1385,3,7450000000,57308000,3,1,1,1
ایوانک,150,1377,3,8800000000,58667000,1,1,1,1
بهجت‌آباد,105,1382,2,4500000000,42857000,2,1,1,1
خاوران,53,1395,1,450000000,8491000,1,1,1,1
شهرک غرب,127,1395,3,11000000000,86614000,9,1,1,1
پونک,100,1400,2,5000000000,50000000,5,1,1,1
نواب,43,1389,1,860000000,20000000,2,0,1,0
پاسداران,106,1395,2,8800000000,83019000,2,1,1,1
جیحون,62,1395,1,1200000000,19355000,1,1,0,1
حکیمیه,100,1400,2,2600000000,26000000,10,1,1,1
اندیشه,45,1394,1,660000000,14667000,1,0,1,1
محمودیه,136,1385,3,9200000000,67647000,1,1,1,1
کوی فردوس,67,1392,1,2450000000,36567000,4,1,1,1
دلگشا,100,1399,2,2500000000,25000000,2,1,1,1
پاسداران,170,1400,3,12750000000,75000000,2,1,1,1
فرمانیه,195,1380,3,13600000000,69744000,3,1,1,1
شاهین,145,1397,3,6650000000,45862000,5,1,1,1
کوی فردوس,80,1387,2,2980000000,37250000,4,1,1,1
شهرک غرب,190,1400,3,17100000000,90000000,3,1,1,1
کوی فردوس,115,1399,2,6100000000,53043000,4,1,1,1
رباط کریم,55,1395,1,390000000,7091000,2,0,0,1
پرند,78,1400,2,380000000,4872000,8,1,0,0
اندیشه,48,1395,1,681600000,14200000,3,0,1,1
جنت‌آباد شمالی,65,1384,1,2250000000,34615000,2,0,1,1
دولاب,45,1385,1,650000000,14444000,2,0,0,1
شهر قدس,65,1394,1,505000000,7769000,3,1,0,1
آبشار تهران,78,1386,2,2300000000,29487000,10,1,1,0
قیطریه,110,1393,2,8600000000,78182000,1,1,1,1
ستارخان,82,1383,2,2600000000,31707000,4,1,1,1
فلاح,95,1400,2,1700000000,17895000,4,1,1,1
شهر زیبا,103,1399,2,1650000000,16019000,3,1,1,1
سعادت‌آباد,75,1385,2,4000000000,53333000,1,1,1,1
گیشا (کوی نصر),97,1380,2,4300000000,44330000,1,0,1,1
چیتگر,152,1398,3,4850000000,31908000,8,1,1,1
المهدی,90,1400,2,4050000000,45000000,4,1,1,1
پرند,78,1397,2,530000000,6795000,5,1,0,0
نیاوران,105,1393,3,5500000000,52381000,1,1,0,1
تهرانپارس شرقی,63,1392,2,1570000000,24921000,1,1,0,1
جنت‌آباد جنوبی,174,1390,3,7200000000,41379000,1,1,1,1
خانی‌آباد نو,97,1399,2,1900000000,19588000,5,1,1,1
تهران‌ویلا,120,1400,3,5760000000,48000000,3,1,1,1
صادقیه,240,1398,4,13500000000,56250000,3,1,1,1
سبلان,56,1388,1,1080000000,19286000,3,0,1,1
قیطریه,140,1400,3,13000000000,92857000,2,1,1,1
نارمک,61,1387,2,2200000000,36066000,4,1,1,1
سعادت‌آباد,175,1388,3,12400000000,70857000,3,1,1,1
پونک,53,1380,1,1870000000,35283000,2,1,1,1
نیرو هوایی,37,1374,1,760000000,20541000,2,0,0,0
تهرانپارس غربی,215,1385,3,7400000000,34419000,4,1,1,1
هروی,188,1386,4,9000000000,47872000,4,1,1,1
پاسداران,50,1377,1,2350000000,47000000,0,1,0,1
شوش,115,1400,2,1800000000,15652000,3,1,1,0
سعادت‌آباد,75,1389,2,4000000000,53333000,1,1,1,1
شهر قدس,66,1392,1,455000000,6894000,3,0,0,1
سهروردی,80,1384,2,2800000000,35000000,3,1,1,0
نارمک جنوبی,78,1380,1,2000000000,25641000,1,0,1,1
زعفرانیه,200,1385,3,17000000000,85000000,2,1,1,1
مرزداران,83,1390,2,3750000000,45181000,4,1,1,1
جنت‌آباد مرکزی,77,1383,2,2600000000,33766000,6,1,0,1
شهریار,90,1392,2,600000000,6667000,2,0,0,1
جیحون,55,1385,1,950000000,17273000,5,1,1,1
سلسبیل,48,1378,1,995000000,20729000,2,0,1,1
شهرک غرب,100,1390,2,6400000000,64000000,5,1,1,1
قیطریه,88,1399,2,6900000000,78409000,1,1,1,1
پردیس,87,1400,2,1100000000,12644000,13,1,1,1
تهرانپارس غربی,51,1387,1,1220000000,23922000,2,1,0,1
فرمانیه,140,1399,3,14700000000,105000000,6,1,1,1
طرشت,55,1380,1,1550000000,28182000,2,0,1,0
سعادت‌آباد,134,1397,3,10500000000,78358000,3,1,1,1
مرزداران,110,1395,2,7000000000,63636000,5,1,1,1
شهرک غرب,55,1389,1,3000000000,54545000,1,1,1,1
جیحون,43,1386,1,920000000,21395000,1,1,1,1
سلسبیل,98,1399,2,2620000000,26735000,2,1,1,1
هاشمی,148,1370,3,2220000000,15000000,1,0,1,1
جیحون,60,1385,2,1350000000,22500000,3,0,0,1
صادقیه,58,1388,1,2250000000,38793000,2,1,1,1
سازمان برنامه,115,1400,2,6600000000,57391000,6,1,1,1
شهران جنوبی,58,1386,2,2200000000,37931000,3,1,1,1
نیرو هوایی,85,1400,2,3400000000,40000000,2,1,1,0
مرزداران,122,1392,2,7000000000,57377000,3,1,1,1
زعفرانیه,210,1384,3,25000000000,119048000,1,1,1,1
جنت‌آباد شمالی,63,1385,1,2250000000,35714000,2,0,1,1
اندیشه,51,1393,1,400000000,7843000,3,0,1,1
دریاچه شهدای خلیج فارس,60,1400,2,1200000000,20000000,10,1,1,1
ابوذر (منطقه ),60,1388,1,1530000000,25500000,3,1,0,1
تهرانپارس غربی,86,1395,2,2820000000,32791000,4,1,1,1
چیتگر,140,1399,3,3600000000,25714000,21,1,1,1
استاد معین,57,1392,2,1380000000,24211000,1,1,1,1
استاد معین,68,1395,2,1480000000,21765000,3,1,1,1
سعادت‌آباد,100,1394,2,7000000000,70000000,2,1,1,1
پونک,110,1380,2,3900000000,35455000,1,1,1,1
شمس‌آباد,103,1397,2,4400000000,42718000,1,1,1,1
فاطمی,150,1395,3,6800000000,45333000,2,1,1,1
سعادت‌آباد,73,1382,2,3200000000,43836000,2,0,1,1
فرمانیه,111,1386,2,7800000000,70270000,4,1,1,1
زعفرانیه,118,1395,2,8200000000,69492000,2,1,1,1
پونک,75,1397,2,3350000000,44667000,1,1,1,1
گرگان,60,1383,1,1320000000,22000000,2,0,1,1
پاتریس لومومبا,110,1392,2,4600000000,41818000,3,1,1,1
فرمانیه,300,1386,3,25500000000,85000000,6,1,1,1
پونک,65,1388,2,3150000000,48462000,2,0,1,1
پرند,155,1400,3,3255000000,21000000,2,1,1,1
سازمان برنامه,114,1385,2,4000000000,35088000,4,1,1,1
سعادت‌آباد,70,1385,2,3800000000,54286000,4,1,1,1
پردیس,87,1396,2,840000000,9655000,3,1,1,1
گیشا (کوی نصر),65,1383,1,3000000000,46154000,6,1,1,1
سعادت‌آباد,152,1382,3,8400000000,55263000,5,1,1,1
پردیس,105,1400,2,950000000,9048000,2,1,1,1
جنت‌آباد مرکزی,67,1381,2,2400000000,35821000,2,0,1,1
درب دوم,85,1398,2,4800000000,56471000,1,1,0,1
پردیس,86,1400,2,655000000,7616000,3,1,1,1
زعفرانیه,147,1375,3,8500000000,57823000,2,0,1,1
جنت‌آباد مرکزی,30,1380,0,1130000000,37667000,0,0,0,1
دریاچه شهدای خلیج فارس,123,1393,2,3800000000,30894000,1,1,1,1
میدان حر,68,1376,1,700000000,10294000,-1,0,0,1
شهران جنوبی,56,1380,1,2000000000,35714000,3,0,1,1
سعادت‌آباد,147,1392,3,9555000000,65000000,4,1,1,1
اندیشه,45,1395,1,675000000,15000000,3,0,0,1
جنت‌آباد مرکزی,50,1382,1,1500000000,30000000,2,0,0,0
دیلمان,78,1394,2,1600000000,20513000,5,1,1,1
شهران شمالی,80,1387,2,2550000000,31875000,2,1,1,1
تهرانپارس شرقی,74,1387,2,2100000000,28378000,3,1,1,1
شهرک شریعتی,90,1399,2,1800000000,20000000,5,1,1,0
اوقاف,62,1395,1,1650000000,26613000,3,1,1,1
تهرانپارس شرقی,73,1390,1,2190000000,30000000,2,1,1,1
پردیس,78,1395,2,950000000,12179000,8,1,1,1
پردیس,87,1399,2,890000000,10230000,5,1,1,1
پیروزی,50,1390,1,1250000000,25000000,3,0,0,1
میرداماد,72,1390,2,4300000000,59722000,2,1,1,0
جنت‌آباد شمالی,62,1385,1,2300000000,37097000,2,0,1,1
دزاشیب,42,1399,1,3800000000,90476000,3,1,1,1
باغ فیض,105,1396,3,4180000000,39810000,2,1,1,1
یوسف‌آباد,141,1382,3,7755000000,55000000,5,1,1,1
پاسداران,111,1395,2,7215000000,65000000,2,1,1,1
الهیه,220,1385,3,12500000000,56818000,2,1,1,1
فلاح,62,1391,1,990000000,15968000,5,1,0,0
آذربایجان,71,1380,1,1150000000,16197000,2,0,0,1
شهر قدس,67,1390,1,480000000,7164000,1,0,0,1
بریانک,79,1397,2,1600000000,20253000,5,1,1,1
شهرک غرب,70,1384,2,3000000000,42857000,4,0,0,1
شیان,155,1393,3,7900000000,50968000,4,1,1,1
جنت‌آباد شمالی,54,1380,1,1620000000,30000000,1,0,0,0
پرند,58,1397,1,320000000,5517000,3,1,0,0
اندیشه,45,1386,1,370000000,8222000,2,0,0,1
آجودانیه,100,1398,2,9550000000,95500000,1,1,1,1
سعادت‌آباد,182,1386,3,11350000000,62363000,5,1,1,1
شهرک راه‌آهن,140,1395,3,6300000000,45000000,3,1,1,1
اوقاف,95,1400,2,2500000000,26316000,3,1,1,1
کوی فردوس,66,1385,2,2500000000,37879000,4,1,1,1
سلیمانی,60,1383,1,880000000,14667000,3,0,0,1
نیلوفر,95,1373,2,4278000000,45032000,2,0,1,1
شهران شمالی,50,1382,1,1860000000,37200000,1,0,1,1
پیروزی,95,1400,2,2400000000,25263000,4,1,1,0
دریاچه شهدای خلیج فارس,68,1388,2,1995000000,29338000,6,1,0,1
فشم,104,1390,2,3600000000,34615000,2,1,1,1
سهروردی,57,1380,2,1900000000,33333000,5,1,1,0
شهر ری - اقدسیه,115,1398,3,2380000000,20696000,2,1,1,0
استخر,111,1400,3,3290000000,29640000,2,1,1,1
فلاح,54,1394,1,870000000,16111000,1,1,0,1
مرزداران,112,1392,2,5200000000,46429000,3,1,1,1
دبستان,61,1380,1,2250000000,36885000,1,0,1,1
نیاوران,91,1390,1,9300000000,102198000,1,1,1,1
نارمک,47,1390,2,1700000000,36170000,2,0,1,1
نیاوران,181,1392,4,15500000000,85635000,1,1,1,1
شمس‌آباد,80,1399,2,3300000000,41250000,4,1,1,1
پیروزی,50,1396,1,1100000000,22000000,3,1,1,1
ورامین,65,1385,2,520000000,8000000,1,0,0,0
پرند,126,1397,3,1300000000,10317000,3,1,1,1
پونک,136,1398,3,13100000000,96324000,4,1,1,1
شهریار,78,1390,2,1330000000,17051000,2,1,1,1
شهرک صدرا,126,1400,2,5922000000,47000000,7,1,1,1
ولنجک,233,1392,3,15500000000,66524000,6,1,1,1
پونک,83,1395,2,3500000000,42169000,3,1,1,1
الهیه,120,1391,2,11000000000,91667000,4,1,1,1
سلسبیل,72,1383,2,1080000000,15000000,-1,0,0,1
اباذر,136,1393,3,6250000000,45956000,5,1,1,1
پیروزی,112,1400,2,2650000000,23661000,2,1,1,1
دریاچه شهدای خلیج فارس,90,1388,2,2400000000,26667000,3,0,1,1
یوسف‌آباد,120,1400,2,9000000000,75000000,7,1,1,1
امیرآباد,112,1396,2,6500000000,58036000,4,1,1,1
المهدی,97,1384,2,3700000000,38144000,2,1,1,1
وحیدیه,32,1395,1,840000000,26250000,2,0,1,1
قیطریه,115,1387,2,7700000000,66957000,2,1,1,1
سهروردی,68,1385,1,2850000000,41912000,3,1,1,1
قیطریه,140,1385,3,8000000000,57143000,2,1,1,1
ابوذر (منطقه ),68,1388,2,1650000000,24265000,3,1,1,0
سعادت‌آباد,68,1385,1,3800000000,55882000,4,0,0,0
پردیس,89,1400,2,585000000,6573000,1,1,1,1
شریف,114,1398,2,3650000000,32018000,3,1,1,0
امامت,78,1400,2,2700000000,34615000,2,1,1,1
درب دوم,82,1396,2,4838000000,59000000,1,1,0,1
سعادت‌آباد,64,1380,1,3400000000,53125000,3,1,1,1
نیاوران,90,1385,2,6300000000,70000000,2,1,1,1
سعادت‌آباد,141,1395,3,11280000000,80000000,1,1,1,1
آهنگ,52,1386,1,840000000,16154000,3,0,0,0
آذربایجان,66,1383,2,1450000000,21970000,4,0,1,1
وردآورد,100,1399,2,1500000000,15000000,6,1,1,1
صادقیه,130,1396,3,6500000000,50000000,6,1,1,1
شهر زیبا,83,1370,2,1900000000,22892000,1,0,0,0
الهیه,100,1393,2,6800000000,68000000,1,1,1,1
