Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
فیروزکوه,62,1395,1,620000000,10000000,5,1,1,1
پاسداران,150,1400,3,13700000000,91333000,2,1,1,1
هروی,152,1400,3,9880000000,65000000,4,1,1,1
ستارخان,100,1385,2,3780000000,37800000,5,1,1,1
صادقیه,74,1382,2,2770000000,37432000,0,1,0,1
پردیس,85,1400,2,590000000,6941000,0,1,1,0
سعادت‌آباد,165,1390,3,14800000000,89697000,4,1,1,1
مرزداران,60,1385,1,3350000000,55833000,4,1,1,1
دریاچه شهدای خلیج فارس,108,1395,2,2990000000,27685000,5,1,1,1
تهران‌ویلا,110,1397,2,5800000000,52727000,3,1,1,1
اندیشه,59,1398,1,960000000,16271000,3,1,1,1
نیرو هوایی,90,1384,2,2500000000,27778000,5,1,0,1
کوی فردوس,113,1390,2,4650000000,41150000,2,1,1,1
اندیشه,48,1393,2,370000000,7708000,1,0,1,1
اباذر,77,1389,2,3300000000,42857000,4,1,1,1
دریاچه شهدای خلیج فارس,157,1397,3,5100000000,32484000,16,1,1,1
یوسف‌آباد,91,1371,2,3600000000,39560000,3,0,1,1
شوش,95,1399,2,1567500000,16500000,1,1,1,1
سازمان برنامه,86,1400,2,1380000000,16047000,6,1,1,1
اندیشه,47,1385,1,554000000,11787000,3,0,1,1
شکوفه,62,1385,2,1030000000,16613000,3,0,0,1
پاسداران,133,1385,3,7300000000,54887000,4,1,1,1
صاحب الزمان,89,1391,2,3100000000,34831000,2,1,1,0
دریاچه شهدای خلیج فارس,147,1400,3,740000000,5034000,20,1,1,1
پاسداران,120,1398,2,10800000000,90000000,5,1,1,1
پونک,75,1382,2,3000000000,40000000,2,0,1,1
سعادت‌آباد,107,1389,2,6450000000,60280000,3,1,1,1
سلیمانی,42,1378,1,660000000,15714000,3,0,0,0
پردیس,121,1398,3,1130000000,9339000,2,1,1,1
تهرانپارس غربی,80,1388,2,2330000000,29125000,1,1,1,1
ستارخان,130,1390,2,4300000000,33077000,1,1,1,1
باغ فیض,63,1391,1,2400000000,38095000,4,1,1,1
جردن,160,1371,3,7800000000,48750000,1,1,1,1
اندیشه,3,1394,1,315000000,105000000,7,1,1,1
بهار,67,1380,1,2000000000,29851000,4,0,0,0
یوسف‌آباد,144,1400,3,10368000000,72000000,2,1,1,1
نبی اکرم(ص),66,1392,2,1600000000,24242000,3,0,1,0
پردیس,87,1396,2,760000000,8736000,2,1,0,1
شهرک غرب,128,1385,3,6950000000,54297000,4,1,1,1
جردن,112,1389,3,6000000000,53571000,2,1,1,1
رباط کریم,115,1400,2,850000000,7391000,1,1,1,1
پونک,100,1390,2,4100000000,41000000,4,1,1,1
فرمانیه,295,1398,4,26550000000,90000000,3,1,1,1
میرداماد,68,1398,1,4800000000,70588000,2,1,1,1
جنت‌آباد شمالی,79,1394,2,3200000000,40506000,2,1,1,1
شهر زیبا,95,1399,2,1458000000,15347000,8,1,1,1
سعادت‌آباد,158,1390,3,13900000000,87975000,8,1,1,1
تهرانپارس غربی,44,1382,1,1400000000,31818000,3,1,0,1
بریانک,54,1391,1,990000000,18333000,2,0,1,1
تهران‌سر,70,1400,2,2090000000,29857000,1,1,1,1
افسریه,72,1400,2,1800000000,25000000,4,1,1,0
پردیس,87,1399,2,680000000,7816000,7,1,0,1
اختیاریه,60,1380,1,2430000000,40500000,2,0,0,0
حکمت,140,1385,2,8350000000,59643000,5,1,1,1
پرند,62,1391,1,345000000,5565000,12,1,0,0
باغ فیض,110,1391,2,3600000000,32727000,3,1,1,1
تهرانپارس شرقی,55,1382,2,1350000000,24545000,1,0,0,1
جردن,140,1385,3,9200000000,65714000,3,1,1,1
نیاوران,190,1397,3,15200000000,80000000,1,1,1,1
پردیس,100,1400,2,570000000,5700000,2,1,1,1
پرند,75,1400,2,245000000,3267000,0,1,0,1
مرزداران,100,1397,2,5300000000,53000000,1,1,1,1
سنایی,91,1371,2,3300000000,36264000,1,1,1,1
سعادت‌آباد,148,1392,3,10000000000,67568000,5,1,1,1
پونک,66,1387,2,2370000000,35909000,1,0,1,1
دریاچه شهدای خلیج فارس,154,1400,3,5600000000,36364000,9,1,1,1
سعادت‌آباد,85,1395,2,5100000000,60000000,1,1,1,1
فاطمی,52,1389,1,2350000000,45192000,2,1,1,0
پردیس,76,1399,2,600000000,7895000,4,1,0,1
دروس,300,1387,4,20000000000,66667000,3,1,1,1
پرند,111,1400,2,750000000,6757000,3,1,0,1
پونک,95,1390,2,4200000000,44211000,2,1,1,1
پونک,116,1400,2,7700000000,66379000,1,1,1,1
افسریه,64,1389,2,1060000000,16562000,4,0,0,1
نبی اکرم(ص),48,1393,1,1050000000,21875000,4,0,0,0
اختیاریه,139,1386,3,8180000000,58849000,3,1,1,1
گیشا (کوی نصر),90,1399,2,5700000000,63333000,5,1,1,1
جیحون,58,1393,1,1750000000,30172000,2,1,1,0
پردیس,87,1400,2,730000000,8391000,2,1,1,1
پیروزی,87,1398,2,3250000000,37356000,5,1,1,1
جردن,80,1400,1,7200000000,90000000,2,1,1,1
سعادت‌آباد,143,1393,3,10500000000,73427000,2,1,1,1
دریان‌نو,118,1399,2,6300000000,53390000,1,1,1,1
ارم,55,1375,1,1650000000,30000000,2,0,1,1
سعادت‌آباد,230,1396,4,20000000000,86957000,4,1,1,1
صادقیه,125,1378,3,4300000000,34400000,0,0,1,1
استاد معین,115,1400,3,3162000000,27496000,4,1,1,1
جنت‌آباد جنوبی,80,1390,2,3400000000,42500000,4,1,1,1
قیطریه,100,1396,2,9200000000,92000000,1,1,1,1
اندیشه,58,1388,2,545000000,9397000,2,0,1,1
شهر زیبا,130,1388,3,5380000000,41385000,5,1,1,1
کوی فردوس,150,1397,3,5700000000,38000000,3,1,1,1
پاکدشت,40,1398,0,260000000,6500000,0,0,1,1
شهریار,75,1390,2,1036000000,13813000,1,1,1,1
قنات‌کوثر,104,1393,2,3390000000,32596000,1,1,1,1
نیاوران,47,1388,1,2400000000,51064000,4,0,0,0
جی,75,1383,2,1200000000,16000000,1,0,1,1
سازمان برنامه,70,1385,1,2600000000,37143000,3,1,1,1
دکتر هوشیار,79,1400,2,2300000000,29114000,3,1,1,1
پونک,90,1395,2,4000000000,44444000,2,1,1,1
جنت‌آباد مرکزی,70,1385,2,1950000000,27857000,4,0,1,1
دریان‌نو,109,1398,3,4700000000,43119000,3,1,1,1
اندیشه,60,1391,2,410000000,6833000,1,0,1,1
نواب,55,1382,1,830000000,15091000,3,0,0,1
مرزداران,100,1393,2,4150000000,41500000,3,1,1,1
آذربایجان,60,1385,2,1300000000,21667000,2,0,0,1
